stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Dominik\Desktop\AISD\bin\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.16913] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16914] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16916] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16917] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16918] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16920] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16921] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16922] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16926] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16928] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16929] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16930] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16932] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16933] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16934] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16936] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16937] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16938] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16940] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16941] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16943] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16944] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16945] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.16947] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.16977] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.16980] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.18830] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.22694] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.22698] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.22705] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.22709] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.22758] Returning d3d_display: 0000000000eba130
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.22761] al_display=0000000000eba130
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.22762] al_display->vt=0000000000eb9fc0
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.22923] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.22927] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.23381] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.23389] Module "d3dx9_43.dll" loaded.
d3d      I         d3d_disp.cpp:915  d3d_destroy_display              [  16.77042] destroying display 0000000000eba130 (current 0000000000000000)
d3d      D         d3d_disp.cpp:899  d3d_destroy_display_internals    [  16.77467] waiting for display 0000000000eba130's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [  16.79506] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [  16.79512] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1562 d3d_display_thread_proc          [  16.80292] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [  16.80456] removed dtor for queue 0000000000eb8880
